round,actual,bet,confidence,chaos,risk,stake,pnl,recommendation
271,"BANKER","BANKER",5,77,"HIGH",11,10,"SKIP"
272,"BANKER","BANKER",5,77,"HIGH",11,10,"SKIP"
273,"PLAYER","BANKER",9,77,"HIGH",11,-11,"SKIP"
274,"BANKER","PLAYER",12,77,"HIGH",11,-11,"SKIP"
275,"BANKER","BANKER",12,77,"HIGH",11,10,"SKIP"
276,"PLAYER","BANKER",14,77,"HIGH",11,-11,"SKIP"
277,"PLAYER","PLAYER",14,77,"HIGH",11,11,"SKIP"
278,"PLAYER","PLAYER",15,77,"HIGH",12,12,"SKIP"
279,"BANKER","PLAYER",15,77,"HIGH",12,-12,"SKIP"
280,"PLAYER","BANKER",18,77,"HIGH",12,-12,"SKIP"
281,"BANKER","PLAYER",18,77,"HIGH",12,-12,"SKIP"
282,"BANKER","BANKER",18,77,"HIGH",12,11,"SKIP"
283,"PLAYER","BANKER",18,77,"HIGH",12,-12,"SKIP"
284,"PLAYER","PLAYER",20,77,"HIGH",12,12,"SKIP"
285,"PLAYER","PLAYER",18,77,"HIGH",12,12,"SKIP"
286,"PLAYER","PLAYER",15,77,"HIGH",12,12,"SKIP"
287,"BANKER","PLAYER",13,77,"HIGH",11,-11,"SKIP"
288,"PLAYER","BANKER",21,77,"HIGH",12,-12,"SKIP"
289,"BANKER","PLAYER",22,77,"HIGH",12,-12,"SKIP"
290,"BANKER","BANKER",21,77,"HIGH",12,11,"SKIP"
291,"PLAYER","BANKER",15,77,"HIGH",12,-12,"SKIP"
292,"PLAYER","PLAYER",21,77,"HIGH",12,12,"SKIP"
293,"PLAYER","PLAYER",12,77,"HIGH",11,11,"SKIP"
294,"PLAYER","PLAYER",8,77,"HIGH",11,11,"SKIP"
295,"PLAYER","PLAYER",5,77,"HIGH",11,11,"SKIP"
296,"BANKER","PLAYER",7,77,"HIGH",11,-11,"SKIP"
297,"BANKER","BANKER",21,77,"HIGH",12,11,"SKIP"
298,"BANKER","BANKER",16,77,"HIGH",12,11,"SKIP"
299,"BANKER","BANKER",15,77,"HIGH",12,11,"SKIP"
300,"PLAYER","BANKER",16,77,"HIGH",12,-12,"SKIP"
301,"PLAYER","PLAYER",25,77,"HIGH",13,13,"SKIP"
302,"PLAYER","PLAYER",25,77,"HIGH",13,13,"SKIP"
303,"PLAYER","PLAYER",25,77,"HIGH",13,13,"SKIP"
304,"BANKER","PLAYER",26,77,"HIGH",13,-13,"SKIP"
305,"BANKER","BANKER",23,77,"HIGH",12,11,"SKIP"
306,"BANKER","BANKER",36,77,"HIGH",14,13,"SKIP"
307,"PLAYER","BANKER",36,77,"HIGH",14,-14,"SKIP"
308,"PLAYER","PLAYER",26,77,"HIGH",13,13,"SKIP"
309,"PLAYER","PLAYER",47,77,"HIGH",15,15,"SKIP"
310,"PLAYER","PLAYER",44,77,"HIGH",14,14,"SKIP"
311,"PLAYER","PLAYER",44,77,"HIGH",14,14,"SKIP"
312,"BANKER","PLAYER",44,77,"HIGH",14,-14,"SKIP"
313,"BANKER","BANKER",38,77,"HIGH",14,13,"SKIP"
314,"PLAYER","BANKER",58,77,"HIGH",16,-16,"SKIP"
315,"PLAYER","PLAYER",43,77,"HIGH",14,14,"SKIP"
316,"BANKER","PLAYER",67,77,"HIGH",17,-17,"SKIP"
317,"BANKER","BANKER",49,77,"HIGH",15,14,"SKIP"
318,"BANKER","BANKER",67,77,"HIGH",17,16,"SKIP"
319,"PLAYER","BANKER",67,77,"HIGH",17,-17,"SKIP"
320,"PLAYER","PLAYER",62,77,"HIGH",16,16,"SKIP"
321,"PLAYER","PLAYER",64,77,"HIGH",16,16,"SKIP"
322,"PLAYER","PLAYER",67,77,"HIGH",17,17,"SKIP"
323,"BANKER","PLAYER",67,77,"HIGH",17,-17,"SKIP"
324,"BANKER","BANKER",67,77,"HIGH",17,16,"SKIP"
325,"PLAYER","BANKER",67,77,"HIGH",17,-17,"SKIP"
326,"BANKER","PLAYER",67,77,"HIGH",17,-17,"SKIP"
327,"PLAYER","BANKER",64,77,"HIGH",16,-16,"SKIP"
328,"BANKER","PLAYER",62,77,"HIGH",16,-16,"SKIP"
329,"BANKER","BANKER",62,77,"HIGH",16,15,"SKIP"
330,"PLAYER","BANKER",62,77,"HIGH",16,-16,"SKIP"
331,"PLAYER","PLAYER",60,77,"HIGH",16,16,"SKIP"
332,"PLAYER","PLAYER",60,77,"HIGH",16,16,"SKIP"
333,"PLAYER","PLAYER",62,77,"HIGH",16,16,"SKIP"
334,"BANKER","PLAYER",62,77,"HIGH",16,-16,"SKIP"
335,"BANKER","BANKER",62,77,"HIGH",16,15,"SKIP"
336,"PLAYER","BANKER",64,77,"HIGH",16,-16,"SKIP"
337,"PLAYER","PLAYER",64,77,"HIGH",16,16,"SKIP"
338,"PLAYER","PLAYER",67,77,"HIGH",17,17,"SKIP"
339,"PLAYER","PLAYER",67,77,"HIGH",17,17,"SKIP"
340,"BANKER","PLAYER",69,77,"HIGH",17,-17,"SKIP"
341,"BANKER","BANKER",67,77,"HIGH",17,16,"SKIP"
342,"PLAYER","BANKER",67,77,"HIGH",17,-17,"SKIP"
343,"PLAYER","PLAYER",64,77,"HIGH",16,16,"SKIP"
344,"BANKER","PLAYER",67,77,"HIGH",17,-17,"SKIP"
345,"PLAYER","BANKER",64,77,"HIGH",16,-16,"SKIP"
346,"PLAYER","PLAYER",64,77,"HIGH",16,16,"SKIP"
347,"PLAYER","PLAYER",64,77,"HIGH",16,16,"SKIP"
348,"PLAYER","PLAYER",64,77,"HIGH",16,16,"SKIP"
349,"BANKER","PLAYER",64,77,"HIGH",16,-16,"SKIP"
350,"BANKER","BANKER",64,77,"HIGH",16,15,"SKIP"
351,"BANKER","BANKER",64,77,"HIGH",16,15,"SKIP"
352,"BANKER","BANKER",67,77,"HIGH",17,16,"SKIP"
353,"PLAYER","BANKER",67,77,"HIGH",17,-17,"SKIP"
354,"PLAYER","PLAYER",67,77,"HIGH",17,17,"SKIP"
355,"BANKER","PLAYER",69,77,"HIGH",17,-17,"SKIP"
356,"BANKER","BANKER",67,77,"HIGH",17,16,"SKIP"
357,"BANKER","BANKER",67,77,"HIGH",17,16,"SKIP"
358,"PLAYER","BANKER",67,77,"HIGH",17,-17,"SKIP"
359,"PLAYER","PLAYER",67,77,"HIGH",17,17,"SKIP"
360,"BANKER","PLAYER",67,77,"HIGH",17,-17,"SKIP"
361,"BANKER","BANKER",64,77,"HIGH",16,15,"SKIP"
362,"BANKER","BANKER",64,77,"HIGH",16,15,"SKIP"
363,"BANKER","BANKER",67,77,"HIGH",17,16,"SKIP"
364,"PLAYER","BANKER",67,77,"HIGH",17,-17,"SKIP"
365,"PLAYER","PLAYER",67,77,"HIGH",17,17,"SKIP"
366,"BANKER","PLAYER",67,77,"HIGH",17,-17,"SKIP"
367,"BANKER","BANKER",64,77,"HIGH",16,15,"SKIP"
368,"BANKER","BANKER",67,77,"HIGH",17,16,"SKIP"
369,"BANKER","BANKER",67,77,"HIGH",17,16,"SKIP"
370,"PLAYER","BANKER",69,77,"HIGH",17,-17,"SKIP"
371,"BANKER","PLAYER",67,77,"HIGH",17,-17,"SKIP"
372,"BANKER","BANKER",64,77,"HIGH",16,15,"SKIP"
373,"PLAYER","BANKER",64,77,"HIGH",16,-16,"SKIP"
374,"PLAYER","PLAYER",64,77,"HIGH",16,16,"SKIP"
375,"PLAYER","PLAYER",64,77,"HIGH",16,16,"SKIP"
376,"BANKER","PLAYER",67,77,"HIGH",17,-17,"SKIP"
377,"BANKER","BANKER",64,77,"HIGH",16,15,"SKIP"
378,"PLAYER","BANKER",64,77,"HIGH",16,-16,"SKIP"
379,"BANKER","PLAYER",62,77,"HIGH",16,-16,"SKIP"
380,"BANKER","BANKER",62,77,"HIGH",16,15,"SKIP"
381,"BANKER","BANKER",64,77,"HIGH",16,15,"SKIP"
382,"BANKER","BANKER",64,77,"HIGH",16,15,"SKIP"
383,"BANKER","BANKER",67,77,"HIGH",17,16,"SKIP"
384,"PLAYER","BANKER",67,77,"HIGH",17,-17,"SKIP"
385,"PLAYER","PLAYER",64,77,"HIGH",16,16,"SKIP"
386,"PLAYER","PLAYER",67,77,"HIGH",17,17,"SKIP"
387,"PLAYER","PLAYER",67,77,"HIGH",17,17,"SKIP"
